,,,Price,Price,Price,Price,Log Returns
,,,mean,min,max,std,std
SettlementPoint,year,month,,,,,
HB_BUSAVG,2016,1,19.210363391655456,5.12,54.69,5.4888287923721375,0.16260013876840146
HB_BUSAVG,2016,2,15.288247126436788,1.79,50.98,5.77717217692724,0.22252637221965688
HB_BUSAVG,2016,3,16.755625841184376,1.22,64.31,7.368496875539129,0.21265702856513025
HB_BUSAVG,2016,4,18.289347222222197,1.18,93.09,9.506142732088001,0.22877198810194
HB_BUSAVG,2016,5,18.15958333333335,3.03,73.61,8.017220813376365,0.17257385068168513
HB_BUSAVG,2016,6,23.90981944444443,4.02,110.72,11.305436288586218,0.14742957896021547
HB_BUSAVG,2016,7,27.187473118279588,7.61,99.29,12.406065835499756,0.1545307625926747
HB_BUSAVG,2016,8,30.567137096774225,13.39,230.02,27.15155808784458,0.18565477838885602
HB_BUSAVG,2016,9,26.861750000000033,10.89,202.4,14.904298172890444,0.13807981144305714
HB_BUSAVG,2016,10,25.2048387096774,2.92,274.77,16.32711959988236,0.18920705028007026
HB_BUSAVG,2016,11,19.244902777777792,2.3,48.65,6.3781515532879896,0.18675276243989292
HB_BUSAVG,2016,12,25.31830645161287,2.72,139.42,11.105303297399237,0.2053625941039086
HB_BUSAVG,2017,1,23.25278225806453,1.94,96.28,7.471612705493784,0.19586681247656026
HB_BUSAVG,2017,2,20.1178273809524,3.56,52.7,6.538278533511916,0.18540494893901996
HB_BUSAVG,2017,3,22.569892328398367,4.92,78.44,7.988595981559292,0.14805688054667457
HB_BUSAVG,2017,4,23.70508333333335,8.37,81.08,7.768482147422761,0.13980629551260532
HB_BUSAVG,2017,5,25.087352150537626,4.66,65.3,7.952691485425806,0.1454265116762632
HB_BUSAVG,2017,6,27.669152777777793,15.22,82.18,11.114801167073598,0.13154185484692563
HB_BUSAVG,2017,7,31.45427419354836,16.64,257.04,17.838848649545913,0.15471486798675363
HB_BUSAVG,2017,8,27.50701612903228,16.62,88.75,10.898581913248776,0.12395499832884094
HB_BUSAVG,2017,9,24.18416666666669,8.38,59.02,7.9236597783932705,0.11830199435078122
HB_BUSAVG,2017,10,23.563279569892487,3.07,97.54,10.300630159991833,0.16335525668680834
HB_BUSAVG,2017,11,22.677458333333327,4.28,83.65,8.31051267552799,0.16930819550579296
HB_BUSAVG,2017,12,21.187956989247333,5.82,55.67,5.193307565046879,0.1564664443235027
HB_BUSAVG,2018,1,37.86967741935482,5.83,1660.04,87.56361308118339,0.21844879101097125
HB_BUSAVG,2018,2,21.854315476190465,5.09,73.49,7.541317693617223,0.19781195326097495
HB_BUSAVG,2018,3,22.561978465679648,7.34,69.97,8.35799112360004,0.18213744128865333
HB_BUSAVG,2018,4,23.142958333333308,6.22,53.44,7.3667687663368335,0.15695830411051717
HB_BUSAVG,2018,5,34.00524193548385,8.49,541.31,38.314470370603864,0.2257969020908787
HB_BUSAVG,2018,6,29.96612499999997,15.16,114.07,14.658058238847639,0.1455316700864005
HB_BUSAVG,2018,7,78.85944892473117,9.9,2061.99,233.36169591636278,0.37795116194613343
HB_BUSAVG,2018,8,31.661559139784913,12.71,149.91,18.572329132601762,0.16275627803681056
